제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001655962,누굴 죽였을까 :정해연 장편소설,정해연 지음,북다 : 교보문고,2024,9791170611028,8,7
000001476231,달까지 가자 :장류진 장편소설,장류진 지음,창비,2021,9788936434496,8,7
000001398447,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설,이미예 지음,팩토리나인,2020,9791165341909,8,7
000001543223,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,애나 렘키 지음,흐름출판,2022,9788965965046,5,7
000001384695,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,스노우폭스북스,2020,9791188331796,3,7
000001462551,돈의 심리학 :당신은 왜 부자가 되지 못했는가,모건 하우절 지음,인플루엔셜,2021,9791191056372,3,7
000001745478,듀얼 브레인 :AI 시대의 실용적 생존 가이드,이선 몰릭 지음,상상스퀘어,2025,9791194368175,3,7
000001633594,맡겨진 소녀 :클레어 키건 소설,클레어 키건 지음,다산책방 : 다산북스,2023,9791130698199,8,7
000000035655,모순 :양귀자 장편소설,양귀자 지음,살림출판사,1998,8985577921,8,7
000001733779,무의식은 어떻게 나를 설계하는가 :나를 살리기도 망치기도 하는 머릿속 독재자,데이비드 이글먼 지음,RHK(알에이치코리아),2024,9788925574394,5,7
000001220440,부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 지음,민음인,2018,9791158883591,3,7
000001591117,"붕괴하는 세계와 인구학 :탈세계화, 무질서, 인구감소의 쓰나미에서 어떻게 살아남을 것인가",피터 자이한 지음,김앤김북스,2023,9788989566885,3,7
000001732165,사랑과 멸종을 바꿔 읽어보십시오 :유선혜 시집,유선혜 지음,문학과지성사,2024,9788932043272,8,7
000001235296,사탄탱고,크러스너호르커이 라슬로 [지음],알마(Alma),2018,9791159921445,8,7
000000786756,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",유발 하라리 지음,김영사,2015,9788934972464,9,7
000001674398,"삼체 .2부 ,암흑의 숲 =The three body",류츠신 지음,자음과모음,2020,9788954442701,8,7
000001738232,"설자은, 불꽃을 쫓다 :정세랑 장편소설",정세랑 지음,문학동네,2025,9791141601638,8,7
000001397012,소년과 두더지와 여우와 말,찰리 맥커시 글·그림,상상의 힘,2020,9788997381678,8,7
000001655377,쇼펜하우어 인생수업 :한 번뿐인 삶 이렇게 살아라 =Schopenhauer's life lessons,쇼펜하우어 저,Highest: 하이스트그로우,2024,9791193282045,1,7
000001729253,"시대예보 .[2] ,호명사회 =Forecast of the times: nominative society",송길영 저,교보문고,2024,9791170611875,3,7
