한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
제주팔삭 셔벗 피지오,Jeju Hassaku Orange Frozen Fizzio,제주송당의 소원나무에 걸린 제주 동백꽃을 형상화한 음료제주의 자몽이라는 별명을 가진 제주 팔삭과 제주 한라봉으로매장에서 직접 만든 셔벗과 함께 상큼하게 즐길 수 있는 피지오 음료,Tall(톨) /355ml,165,0,0,0,0,5,38,0,0,42
제주팔삭 피지오,Jeju Hassaku Orange Fizzio,제주의 자몽이라는 별명을 가진 팔삭과 제주 한라봉으로상큼하고 가볍게 즐길 수 있는 피지오 음료,Tall(톨) /355ml,150,0,0,0,0,5,34,0,0,38
체리&자두 에너지 피지오,Cherry&Plum Energy Fizzio,체리와 자두의 이색 조합으로 그란데 사이즈 99kcal와 타우린과 비타민C 등이 영양소가 함유되어 건강한 에너지를 시원하게 즐길 수 있는 카페인 프리 음료. (필요 시 무료로 블랙 티 커스텀을 통해 카페인도 추가할 수 있습니다),Tall(톨) /355ml,76,0,0,0,0,0,18,0,0,35
쿨 라임 피지오,Cool Lime Starbucks Fizzio™,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),Tall(톨) /355ml,105,0,0,0,0,20,25,110,0,28
피치 딸기 피지오,Peach Strawberry Starbucks Fizzio,피치와 딸기의 상큼한 과일과 청량한 탄산의 조화로 리프레시 할 수 있는 음료,Tall(톨) /355ml,145,0,0,0,0,20,26,37,0,35
아이스 클래식 뱅쇼 히비스커스 티,Iced Classic Vin Chaud Hibiscus Tea,크리스마스 무드를 즐기기 가장 좋은 음료진한 레드 와인 베이스에 뱅쇼와 가장 잘 어울리는 과일을 더한 클래식한 뱅쇼뱅쇼 베이스에 과일을 절여 과일에서도 뱅쇼 풍미를 풍부하게 느끼실 수 있습니다.카페인 프리로 언제든 부담 없이 즐기기 좋은 티 음료,Tall(톨) /355ml,150,0,0,0.1,0,10,31,0,0,38
아이스 핑크 팝 캐모마일 릴렉서,Iced Pink Pop Chamomile Relaxer,"크리스마스에 어울리는 샴페인 한잔과 같은 캐모마일 릴렉서!리치, 레몬그라스, 캐모마일의 차분하면서도 새콤달콤한 조합크리스마스 오너먼트가 떠오르는핑크 리치 보바로 팝! 터지는 식감의 재미와 리치 풍미를 더했습니다",Tall(톨) /355ml,140,0,0,0,0,10,25,1,0,35
클래식 뱅쇼 히비스커스 티,Classic Vin Chaud Hibiscus Tea,크리스마스 무드를 즐기기 가장 좋은 음료진한 레드 와인 베이스에 뱅쇼와 가장 잘 어울리는 과일을 더한 클래식한 뱅쇼뱅쇼 베이스에 과일을 절여 과일에서도 뱅쇼 풍미를 풍부하게 느끼실 수 있습니다.카페인 프리로 언제든 부담 없이 즐기기 좋은 티 음료,Tall(톨) /355ml,205,0,0,0.1,0,10,41,0,0,51
핑크 팝 캐모마일 릴렉서,Pink Pop Chamomile Relaxer,"크리스마스에 어울리는 샴페인 한잔과 같은 캐모마일 릴렉서!리치, 레몬그라스, 캐모마일의 차분하면서도 새콤달콤한 조합크리스마스 오너먼트가 떠오르는 핑크 리치 보바로팝! 터지는 식감의 재미와 리치 풍미를 더했습니다",Tall(톨) /355ml,215,0,0,0,0,15,38,2,0,53
아이스 캐모마일 허니 티 라떼,Iced Chamomile Honey Tea Latte,캐모마일 티의 은은한 꽃향기에 꿀의 부드러움이 더해져포근하게 즐기기 좋은 음료카페인 프리로 언제든 부담 없이 즐기기 좋은 티 라떼,Tall(톨) /355ml,155,2.7,4,4.5,0,70,23,0,15,24
캐모마일 허니 티 라떼,Chamomile Honey Tea Latte,캐모마일 티의 은은한 꽃향기에 꿀의 부드러움이 더해져포근하게 즐기기 좋은 음료카페인 프리로 언제든 부담 없이 즐기기 좋은 티 라떼,Tall(톨) /355ml,170,3.2,5,5,0,80,24,0,15,25
코코 말차,Coco Malcha,수분 보충에 좋은 코코넛 워터에진한 말차 풍미 가득한 폼을 더해가볍고 깔끔하게 즐기기 좋은 음료말차 폼과 코코넛 워터를 잘 섞어 드시면더욱 조화롭게 즐기실 수 있습니다.,Tall(톨) /355ml,145,3.4,2,4.1,0,60,20,43,0,24
클라우드 코코 말차,Cloud Coco Malcha,수분 보충에 좋은 코코넛 워터에 진한 말차 풍미 가득한 폼을 더해가볍고 깔끔하게 즐기기 좋은 음료알로에 토핑을 더해 식감의 재미를 더했습니다.말차 폼과 코코넛 워터를 잘 섞어 드시면코코넛&말차의 조화로움을 느껴보실 수 있습니다.,Tall(톨) /355ml,160,3.4,2,4.1,0,65,24,47,0,29
